digit,estimate_EW2sq,se_EW2sq,lower_EW2sq,upper_EW2sq,estimate_VW,se_VW_regular,lower_VW_regular,upper_VW_regular,sigma2_asymptotic_EW2sq,gamma1_VW
0,4.938938,0.1250332,4.6938774311282065,5.183998568871794,2.469469,0.0625166,2.3469387155641033,2.591999284435897,7.816764,0.48854775
1,5.915815,0.2718818,5.382936463948078,6.448693536051922,2.9579075,0.1359409,2.691468231974039,3.224346768025961,36.946724,2.30917025
2,9.241062,0.2026675,8.843840999163229,9.63828300083677,4.620531,0.10133375,4.421920499581614,4.819141500418385,20.537776,1.283611
3,8.027784,0.2160568,7.604320453385027,8.451247546614974,4.013892,0.1080284,3.8021602266925134,4.225623773307487,23.340267,1.4587666875
4,7.827978,0.1940458,7.447655220648738,8.208300779351262,3.913989,0.0970229,3.723827610324369,4.104150389675631,18.825593,1.1765995625
5,9.60058,0.2230651,9.163380437792176,10.037779562207826,4.80029,0.11153255,4.581690218896088,5.018889781103913,24.863026,1.553939125
6,6.742581,0.1923303,6.365620538864216,7.119541461135785,3.3712905,0.09616515,3.182810269432108,3.5597707305678923,18.494267,1.1558916875
7,8.787558,0.2700865,8.258198187289523,9.316917812710479,4.393779,0.13504325,4.129099093644761,4.658458906355239,36.545043,2.2840651875
8,6.4932,0.1903527,6.120115563640042,6.866284436359957,3.2466,0.09517635,3.060057781820021,3.4331422181799787,18.12006,1.13250375
9,6.526096,0.2035404,6.127164146601124,6.925027853398876,3.263048,0.1017702,3.063582073300562,3.462513926699438,20.714373,1.2946483125
